timestamp,src_ip,dst_ip,port,protocol,packet_size,connection_duration,login_attempts,request_rate,bytes_transferred,status_code,attack_type
2026-03-16T17:14:43.670678,192.168.189.158,150.44.216.9,22,TCP,255,26.315,2,8,147639,0,normal
2026-03-16T15:39:07.341443,192.168.28.130,161.142.3.195,68,HTTPS,199,0.154,1,208,419,200,port_scan
2026-03-16T15:33:27.569452,192.168.28.130,107.40.150.213,49,ICMP,183,1.162,1,140,891,0,port_scan
2026-03-16T16:43:22.653290,192.168.213.138,104.83.189.91,53,HTTPS,1436,32.111,2,14,160192,200,normal
2026-03-16T17:10:26.443527,10.0.189.216,174.112.166.216,443,HTTPS,533,98.634,20,161,70698,403,brute_force
2026-03-16T17:16:52.956767,172.16.226.124,175.234.73.68,53,HTTPS,569,89.424,2,38,196337,404,normal
2026-03-16T16:39:33.469158,172.16.62.179,137.46.24.221,22,UDP,979,1.592,2,910,4790795,429,traffic_spike
2026-03-16T15:43:25.912994,192.168.226.131,148.136.174.29,80,TCP,954,19.063,0,38,131737,0,normal
2026-03-16T17:38:07.891206,192.168.129.248,166.101.78.96,53,HTTP,1168,114.425,2,5,157521,200,normal
2026-03-16T17:37:02.795004,172.16.61.78,25.123.40.22,3306,HTTP,1059,97.941,2,21,34169,404,normal
2026-03-16T17:26:24.657552,10.0.189.216,65.102.159.103,3389,ICMP,1394,44.873,6,145,32232,429,brute_force
2026-03-16T17:13:26.060259,10.0.189.216,192.30.117.18,22,UDP,740,8.596,17,143,175880,429,brute_force
2026-03-16T16:24:59.353683,192.168.28.130,35.49.220.91,113,HTTPS,191,0.516,2,147,1633,200,port_scan
2026-03-16T17:21:25.259894,10.0.108.2,57.142.236.64,22,HTTPS,971,96.982,2,17,13773,200,normal
2026-03-16T14:54:24.158705,172.16.62.179,135.246.109.222,443,UDP,1480,2.194,0,1013,4812122,503,traffic_spike
2026-03-16T17:28:30.423976,10.0.247.255,25.31.160.15,22,HTTP,1260,57.267,2,25,15422,200,normal
2026-03-16T17:45:44.459153,192.168.220.162,71.206.61.242,8080,TCP,568,69.512,0,15,110409,0,normal
2026-03-16T17:18:38.656031,10.0.68.1,112.67.153.118,80,HTTP,212,1.217,2,77,26721,200,normal
2026-03-16T16:18:26.110317,172.16.225.130,28.125.189.73,53,UDP,961,100.066,2,43,160859,0,normal
2026-03-16T16:08:43.417078,10.0.67.182,40.54.79.70,80,TCP,1302,25.354,1,31,180735,0,normal
2026-03-16T17:09:18.771421,10.0.162.98,119.141.22.1,80,TCP,331,76.49,1,25,194821,1,normal
2026-03-16T16:34:04.934219,172.16.62.179,187.76.18.214,80,TCP,1495,2.584,1,1115,3151521,429,traffic_spike
2026-03-16T15:43:19.805837,172.16.199.183,154.208.79.237,53,TCP,396,117.147,0,57,7009,0,normal
2026-03-16T16:53:09.742240,192.168.221.53,199.127.136.41,3306,HTTPS,285,45.967,0,65,58821,200,normal
2026-03-16T16:27:36.617453,10.0.57.19,17.98.204.85,80,HTTP,206,116.03,1,49,168672,404,normal
2026-03-16T15:11:08.575412,172.16.62.179,77.91.135.10,22,HTTP,694,0.772,2,890,3807915,429,traffic_spike
2026-03-16T16:15:44.576868,192.168.184.46,200.100.186.111,22,ICMP,1424,110.5,2,45,174415,0,normal
2026-03-16T16:59:33.462759,192.168.104.142,94.206.151.142,53,HTTP,456,50.512,1,27,161865,200,normal
2026-03-16T15:13:11.110670,172.16.62.179,121.164.238.114,443,HTTP,1148,1.862,1,979,933388,429,traffic_spike
2026-03-16T15:45:17.864779,10.0.37.186,17.23.125.252,443,UDP,1315,101.984,0,63,109155,0,normal
2026-03-16T16:42:54.281152,10.0.37.201,178.2.54.200,443,HTTPS,512,21.189,2,71,122290,200,normal
2026-03-16T14:56:32.889247,172.16.34.36,216.237.162.244,443,TCP,1318,97.819,2,59,144133,1,normal
2026-03-16T15:31:13.290599,10.0.189.216,203.126.141.197,3389,HTTPS,1056,75.247,11,139,20823,401,brute_force
2026-03-16T17:31:53.790411,172.16.62.179,50.109.32.107,443,UDP,1098,2.839,1,1088,313845,503,traffic_spike
2026-03-16T16:24:24.703518,172.16.192.229,110.214.112.125,53,HTTP,622,52.357,0,54,88626,404,normal
2026-03-16T15:11:58.432817,172.16.62.179,17.201.13.22,3306,UDP,965,0.987,1,516,3330341,503,traffic_spike
2026-03-16T15:29:37.768478,172.16.213.190,31.240.9.192,8080,HTTPS,170,119.989,1,33,170943,200,normal
2026-03-16T15:49:37.481580,10.0.51.11,16.78.122.33,443,TCP,1435,13.815,0,64,183872,0,normal
2026-03-16T17:26:03.981001,192.168.28.130,40.83.159.28,108,ICMP,116,1.248,2,182,2534,0,port_scan
2026-03-16T15:10:06.274391,10.0.203.215,155.21.177.137,443,ICMP,1418,44.531,2,48,3828,1,normal
2026-03-16T17:38:28.798954,192.168.228.64,223.235.78.112,53,HTTP,1132,115.86,1,73,127257,404,normal
2026-03-16T15:33:54.051454,172.16.218.11,73.44.142.226,443,HTTP,563,90.082,2,53,88696,200,normal
2026-03-16T16:54:46.810235,192.168.28.130,215.132.174.72,112,HTTPS,187,0.616,2,262,3964,200,port_scan
2026-03-16T15:50:53.293329,172.16.202.255,15.47.150.57,443,HTTPS,1480,29.272,2,79,97248,404,normal
2026-03-16T16:51:04.061197,10.0.189.216,190.232.138.79,443,ICMP,536,14.567,13,105,31852,429,brute_force
2026-03-16T16:02:07.994357,192.168.28.130,36.99.151.59,26,ICMP,128,0.835,2,298,4085,0,port_scan
2026-03-16T17:39:06.010613,192.168.72.204,131.245.225.88,53,TCP,169,30.372,1,19,17641,1,normal
2026-03-16T16:04:39.889652,10.0.38.51,218.155.43.64,22,TCP,1206,91.757,2,33,137501,1,normal
2026-03-16T16:31:24.648218,10.0.189.216,156.30.50.243,22,ICMP,1345,25.402,8,70,41683,403,brute_force
2026-03-16T16:29:52.444698,172.16.74.145,19.118.147.181,80,ICMP,1503,103.167,0,34,69863,0,normal
2026-03-16T16:11:10.124734,172.16.211.160,47.36.30.43,80,UDP,1282,89.9,2,41,115633,0,normal
2026-03-16T16:59:01.915630,192.168.28.130,149.252.224.21,49,HTTPS,74,1.443,2,267,2271,200,port_scan
2026-03-16T16:04:53.593533,172.16.132.220,177.226.142.47,8080,UDP,956,76.211,1,16,123722,0,normal
2026-03-16T16:55:40.519770,192.168.28.130,116.253.147.170,118,TCP,64,0.612,0,251,4508,0,port_scan
2026-03-16T16:27:39.219463,192.168.28.130,103.255.226.195,100,TCP,145,0.917,0,181,2609,1,port_scan
2026-03-16T16:09:59.486826,172.16.23.222,68.58.236.243,22,ICMP,1390,99.874,1,42,133909,0,normal
2026-03-16T16:23:35.828584,172.16.62.179,152.74.196.49,8080,HTTPS,1019,0.809,0,1106,171518,503,traffic_spike
2026-03-16T15:35:10.649632,192.168.255.186,179.250.76.115,8080,ICMP,1055,41.48,2,74,99395,1,normal
2026-03-16T15:06:39.103614,192.168.98.12,70.210.22.82,3306,UDP,1032,84.657,1,54,174494,0,normal
2026-03-16T17:52:12.385188,192.168.84.255,36.225.51.135,443,ICMP,95,86.721,1,24,20127,1,normal
2026-03-16T17:06:53.007822,192.168.101.195,177.41.168.219,3306,ICMP,1156,45.663,1,67,142336,0,normal
2026-03-16T17:12:54.341801,10.0.191.46,34.222.50.195,3306,HTTP,1505,104.722,1,26,182440,200,normal
2026-03-16T17:50:26.129640,172.16.91.198,106.220.74.63,8080,TCP,907,67.955,0,26,46405,0,normal
2026-03-16T16:43:33.188302,172.16.233.177,160.73.118.119,3306,UDP,584,55.203,2,6,122475,0,normal
2026-03-16T17:28:11.424599,10.0.189.216,161.153.217.177,443,HTTPS,999,101.452,11,143,127182,403,brute_force
2026-03-16T14:42:20.324992,10.0.250.92,223.202.140.3,8080,HTTP,1468,93.42,0,68,75536,200,normal
2026-03-16T16:49:35.451886,192.168.64.43,184.70.49.232,3306,UDP,1387,4.827,1,9,152443,0,normal
2026-03-16T17:41:41.245750,172.16.191.92,117.89.102.34,8080,HTTP,813,63.749,1,26,67875,404,normal
2026-03-16T17:00:58.185688,192.168.28.130,30.72.115.221,88,HTTP,198,0.194,2,214,4852,404,port_scan
2026-03-16T16:43:55.242456,10.0.172.196,70.241.12.159,8080,HTTP,735,109.839,0,13,167079,404,normal
2026-03-16T16:59:35.301416,172.16.62.179,22.19.155.127,22,HTTPS,1213,2.838,2,1060,3665890,429,traffic_spike
2026-03-16T15:03:46.871384,172.16.157.157,115.143.16.177,80,TCP,508,53.262,0,51,26557,0,normal
2026-03-16T14:45:26.974777,10.0.189.216,81.97.62.243,22,HTTP,251,79.566,18,142,13770,401,brute_force
2026-03-16T17:45:59.487951,10.0.150.31,66.119.168.199,53,ICMP,1284,0.44,0,21,142126,0,normal
2026-03-16T17:37:47.644821,10.0.3.207,102.121.165.5,53,TCP,607,6.383,2,58,138422,0,normal
2026-03-16T16:25:05.110088,192.168.151.252,38.231.113.243,8080,HTTP,152,87.296,2,71,79582,404,normal
2026-03-16T17:53:26.432800,172.16.62.179,186.55.251.183,443,HTTPS,1099,1.65,1,948,2877853,503,traffic_spike
2026-03-16T14:42:13.970070,172.16.116.40,140.220.50.204,3306,ICMP,298,102.35,2,75,189475,0,normal
2026-03-16T15:03:23.832592,172.16.211.211,127.204.212.187,22,HTTPS,704,51.269,2,37,98632,200,normal
2026-03-16T16:25:31.745504,10.0.23.223,121.49.190.208,53,TCP,1203,7.292,2,76,86926,0,normal
2026-03-16T15:06:18.777377,172.16.62.179,84.159.180.27,8080,HTTPS,876,0.354,2,869,2486799,429,traffic_spike
2026-03-16T15:19:30.204999,10.0.189.216,183.13.136.8,22,ICMP,623,84.354,15,154,92530,403,brute_force
2026-03-16T17:45:50.421686,10.0.191.3,146.110.192.108,443,TCP,762,18.973,1,46,149303,0,normal
2026-03-16T17:28:47.336454,172.16.62.179,31.139.226.170,443,ICMP,790,2.038,1,413,4232171,503,traffic_spike
2026-03-16T17:50:38.569255,192.168.14.8,12.104.154.243,53,HTTPS,345,91.723,1,46,31965,200,normal
2026-03-16T16:34:15.266211,172.16.136.89,191.117.181.19,443,UDP,150,52.403,1,14,82578,1,normal
2026-03-16T15:38:58.632290,10.0.189.216,114.10.166.44,443,HTTPS,1006,99.86,12,137,114993,401,brute_force
2026-03-16T16:41:11.717217,192.168.86.236,67.170.86.20,8080,HTTP,1360,13.772,2,29,92098,200,normal
2026-03-16T15:17:18.897290,10.0.26.83,48.131.101.45,8080,UDP,377,91.25,2,14,46949,1,normal
2026-03-16T16:07:55.380686,172.16.62.179,155.165.161.39,443,ICMP,817,1.391,2,375,465472,429,traffic_spike
2026-03-16T16:46:35.172003,10.0.165.10,34.196.236.149,8080,HTTP,148,54.023,2,29,84798,404,normal
